date,time_et,symbol,setup,grade,direction,killzone,day_type,bias_htf,trigger_type,entry_zone,sweep_grade,smt,vwap_sigma,pd_position,of_confirm,entry,stop,target,exit,contracts,risk_r,result_r,mae_r,mfe_r,duration_min,rule_break,missed,tilt,notes
2026-03-02,08:00,ES,NT,,,none,rotation,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-03,10:04,ES,A,B,long,nyam,rotation,short,mss,fvg,2,bull,1.58,47,nd,6257.25,6251.75,6271.25,6251.75,5,0.25,-1.00,1.00,0.49,42,none,0,0,
2026-03-04,10:04,NQ,A,A,long,london,trend_up,long,mss,fvg,3,none,1.65,67,no,22579.25,22536.25,22691.25,22609.00,1,0.35,0.69,0.56,0.79,42,none,0,0,
2026-03-05,08:00,ES,NT,,,none,rotation,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-06,10:22,NQ,A,A,short,nyam,rotation,long,mss,fvg,3,none,2.17,67,no,22648.00,22616.50,22729.75,22624.25,4,0.35,-0.76,1.00,0.53,100,none,0,0,
2026-03-06,03:24,ES,A,A,short,nyam,rotation,short,mss,breaker,4,na,-1.54,32,yes,6236.25,6229.25,6254.25,6245.00,2,0.35,1.26,0.83,1.37,15,none,0,0,
2026-03-09,08:00,ES,NT,,,none,trend_up,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-09,09:55,ES,A,A,long,nyam,trend_up,long,mss,fvg,3,none,0.4,35,nd,,,,,,0.35,1.93,,,,none,1,0,hesitated
2026-03-10,10:04,NQ,B,A,long,nyam,trend_up,long,bos,composite,2,bull,0.44,23,yes,22536.50,22504.50,22619.75,22508.75,2,0.35,-0.87,1.00,0.30,37,none,0,0,
2026-03-10,13:52,NQ,C,A,short,nyam,trend_up,long,bos,ob,1,none,1.06,71,nd,22809.25,22764.50,22925.75,22859.50,2,0.35,1.12,0.62,1.98,17,none,0,0,
2026-03-11,10:04,ES,B,A+,short,london,chop,long,bos,ob,2,na,1.06,39,yes,6216.50,6209.00,6236.25,6210.25,4,0.50,-0.83,1.00,0.25,103,none,0,0,
2026-03-12,10:04,NQ,A,B,short,nypm,chop,long,mss,composite,1,none,0.67,20,nd,22518.75,22493.25,22585.00,22493.25,1,0.25,-1.00,1.00,0.04,111,none,0,0,
2026-03-13,08:47,NQ,A,A,long,london,trend_dn,short,mss,ob,4,none,-0.66,80,nd,22351.00,22327.00,22413.25,22468.75,1,0.35,4.91,0.41,5.84,15,E9,0,0,
2026-03-16,08:00,ES,NT,,,none,trend_dn,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-17,03:24,ES,A,A+,long,nyam,rotation,long,mss,fvg,4,none,0.48,29,yes,6283.50,6272.25,6312.75,6296.25,4,0.50,1.14,0.74,1.34,42,none,0,0,
2026-03-17,09:12,ES,A,B,short,nypm,rotation,long,mss,fvg,4,none,2.08,87,nd,6188.00,6181.75,6204.50,6181.75,3,0.25,-1.00,1.00,0.18,127,none,0,0,
2026-03-18,09:12,ES,A,A,long,london,trend_dn,short,mss,fvg,2,none,1.25,29,nd,6199.25,6193.50,6214.50,6194.75,3,0.35,-0.79,1.00,1.11,48,none,0,0,
2026-03-19,10:04,ES,B,B,short,nyam,rotation,short,bos,fvg,3,bull,0.24,66,nd,6240.50,6232.00,6263.00,6234.25,4,0.25,-0.72,1.00,0.67,96,none,0,0,
2026-03-20,03:24,ES,A,A+,long,london,rotation,short,mss,breaker,1,bear,1.32,33,nd,6299.00,6289.25,6324.25,6312.25,1,0.50,1.35,0.21,2.19,80,E2,0,0,
2026-03-20,03:24,ES,C,A,short,nyam,rotation,long,bos,fvg,2,na,2.06,43,yes,6197.00,6192.00,6210.25,6192.00,2,0.35,-1.00,1.00,0.75,91,E9,0,0,
2026-03-23,08:00,ES,NT,,,none,trend_up,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-24,08:00,ES,NT,,,none,trend_up,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-25,08:00,ES,NT,,,none,chop,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-25,09:55,ES,A,A,long,nyam,chop,long,mss,fvg,3,none,0.4,35,nd,,,,,,0.35,2.34,,,,none,1,0,hesitated
2026-03-26,08:00,ES,NT,,,none,trend_up,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
2026-03-27,09:38,ES,B,A,short,nypm,trend_up,short,bos,fvg,2,bull,0.55,42,nd,6228.00,6217.25,6256.25,6217.25,1,0.35,-1.00,1.00,0.34,33,none,0,0,
2026-03-30,10:41,NQ,C,A,long,nyam,rotation,long,bos,breaker,2,none,-2.2,58,yes,22458.00,22414.00,22572.50,22414.00,3,0.35,-1.00,1.00,0.46,140,E9,0,0,
2026-03-31,10:41,ES,A,A,short,london,rotation,long,mss,breaker,2,bull,1.48,75,nd,6280.25,6269.00,6309.25,6311.25,5,0.35,2.79,0.32,3.09,47,none,0,0,
2026-04-01,03:24,ES,B,B,short,nyam,trend_dn,long,bos,fvg,2,none,-2.19,18,nd,6185.75,6176.25,6210.25,6177.75,5,0.25,-0.84,1.00,0.56,35,E2,0,0,
2026-04-02,08:47,NQ,A,B,long,nyam,rotation,long,mss,ob,3,bear,1.07,48,nd,22529.50,22497.50,22612.75,22655.75,2,0.25,3.95,0.72,4.08,15,none,0,0,
2026-04-03,09:12,NQ,A,B,short,nyam,rotation,long,mss,breaker,4,bull,0.03,67,nd,22371.00,22328.75,22481.00,22334.50,4,0.25,-0.86,1.00,0.12,65,none,0,0,
2026-04-03,13:52,NQ,C,A+,short,nypm,rotation,long,bos,ob,1,na,0.8,61,no,22722.00,22696.25,22789.00,22739.00,2,0.50,0.66,0.29,0.76,118,none,0,0,
2026-04-06,09:12,ES,A,A,short,nypm,rotation,short,mss,breaker,1,bear,-1.97,46,nd,6220.50,6213.00,6240.25,6213.00,2,0.35,-1.00,1.00,0.98,75,none,0,0,
2026-04-06,10:04,ES,C,A,long,london,rotation,long,bos,composite,4,none,-1.59,46,nd,6268.25,6256.75,6297.75,6319.50,5,0.35,4.49,0.43,5.44,44,E2,0,0,
2026-04-07,08:00,ES,NT,,,none,rotation,neutral,,,,na,,,nd,,,,,,,,,,,none,0,0,filters KO
